time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
0.10999999999999999,0.01,0.0,0.138,-0.0781205777356358,0.0,0.9746383867141049,0.4,-0.4,255.00000000000006,254.00000000000006
0.11999999999999998,0.01,0.0,0.138,-0.07786537277816577,0.0,1.0699569699827407,0.4,-0.4,254.00000000000006,254.00000000000006
0.12999999999999998,0.01,0.0,0.138,-0.07760074246727473,0.0,1.1663889022602234,0.4,-0.4,254.00000000000006,254.00000000000006
0.13999999999999999,0.01,0.0,0.138,-0.07732689162221529,0.0,1.263947776285022,0.4,-0.4,255.00000000000006,254.00000000000006
0.15,0.01,0.0,0.138,-0.07704402061137999,0.0,1.3626452650046303,0.4,-0.4,255.00000000000006,254.00000000000006
0.16,0.01,0.0,0.138,-0.07675232544902184,0.0,1.4624912331264568,0.4,-0.4,254.00000000000006,255.00000000000006
0.17,0.01,0.0,0.138,-0.0764519978898726,0.0,1.563493843244487,0.4,-0.4,254.00000000000006,254.00000000000006
0.18000000000000002,0.01,0.0,0.138,-0.07614322552170509,0.0,1.6656596567786437,0.4,-0.4,254.00000000000006,254.00000000000006
0.19000000000000003,0.01,0.0,0.138,-0.075826191855884,0.0,1.7689937299851408,0.4,-0.4,254.00000000000006,254.00000000000006
0.20000000000000004,0.01,0.0,0.138,-0.07550107641594896,0.0,1.8734997052310973,0.4,-0.4,254.00000000000006,254.00000000000006
0.21000000000000005,0.01,0.0,0.138,-0.07516805482427268,0.0,1.9791798977862527,0.4,-0.4,254.00000000000006,254.00000000000006
0.22000000000000006,0.01,0.0,0.138,-0.07482729888683587,0.0,2.0860353783050414,0.4,-0.4,254.00000000000006,255.00000000000006
0.23000000000000007,0.01,0.0,0.138,-0.07447897667616006,0.0,2.1940660512173054,0.4,-0.4,254.00000000000006,254.00000000000006
0.24000000000000007,0.01,0.0,0.138,-0.07412325261243814,0.0,2.3032707292027226,0.4,-0.4,254.00000000000006,254.00000000000006
0.25000000000000006,0.01,0.0,0.138,-0.07376028754290193,0.0,2.413647203941764,0.4,-0.4,254.00000000000006,254.00000000000006
